name,year,imdb_rating,metascore,votes,genre,runtime
ATM,(I) (2012),4.7,34,24221,"Horror, Thriller",90
Chinese Zodiac,(2012),6.0,29,23384,"Action, Adventure, Comedy",109
Passion,(2012),5.3,53,23358,"Adventure, Drama, Mystery",102
Room 237,(I) (2012),6.2,80,22379,Documentary,102
No One Lives,(2012),5.9,26,21718,"Horror, Thriller",86
Casa de mi Padre,(2012),5.5,52,21208,"Comedy, Western",84
Indie Game: The Movie,(2012),7.6,73,21163,"Documentary, Drama",103
Laurence Anyways,(2012),7.6,73,20933,"Drama, Romance",168
Ernest & Celestine,(2012),7.8,86,20879,"Animation, Adventure, Comedy",80
Universal Soldier: Day of Reckoning,(2012),5.0,58,20649,"Action, Horror, Mystery",114
Wadjda,(2012),7.5,81,20632,"Comedy, Drama",98
Quartet,(2012),6.8,64,20530,"Comedy, Drama, Music",98
The Apparition,(2012),4.1,18,20142,"Horror, Thriller",82
Big Miracle,(2012),6.5,61,19945,"Biography, Drama, Family",107
The Sweeney,(2012),6.1,48,19914,"Action, Crime, Drama",112
Cockneys vs Zombies,(2012),5.9,52,19683,"Action, Comedy, Horror",88
The ABCs of Death,(2012),4.7,43,19634,"Comedy, Horror",129
The Magic of Belle Isle,(2012),6.9,46,19280,"Comedy, Drama",109
Bel Ami,(2012),5.4,42,18820,"Crime, Drama, History",102
Grabbers,(2012),6.3,62,18671,"Action, Adventure, Comedy",94
Resolution,(III) (2012),6.3,80,17769,"Drama, Horror, Mystery",93
The Chef,(2012),6.6,43,17486,"Comedy, Drama",84
Being Flynn,(2012),6.4,53,17474,Drama,102
Smashed,(2012),6.7,71,17195,Drama,81
What's in a Name?,(2012),7.3,66,17021,"Comedy, Drama",109
A Hijacking,(2012),7.1,82,16913,"Drama, Thriller",103
Twice Born,(2012),7.3,34,16845,"Drama, Romance, War",127
Much Ado About Nothing,(I) (2012),7.1,78,16803,"Comedy, Drama, Romance",109
A Coffee in Berlin,(2012),7.3,63,16798,"Comedy, Drama",86
"For a Good Time, Call...",(2012),6.0,55,16555,Comedy,85
Berberian Sound Studio,(2012),6.2,80,16332,"Drama, Horror, Thriller",92
The Brass Teapot,(2012),6.3,43,16275,"Comedy, Fantasy, Thriller",101
Evangelion: 3.0 You Can (Not) Redo,(2012),6.9,45,16167,"Animation, Action, Drama",96
Girl Most Likely,(2012),5.7,38,15573,Comedy,103
Lore,(2012),7.1,76,15447,"Drama, Romance, War",109
The Oogieloves in the Big Balloon Adventure,(2012),1.7,32,15392,"Adventure, Family, Fantasy",88
The Baytown Outlaws,(2012),6.3,33,15325,"Action, Comedy, Crime",98
Pieta,(2012),7.1,72,14945,"Crime, Drama, Thriller",103
Struck by Lightning,(2012),6.2,41,14940,"Comedy, Drama",90
